;n_nodes;n_edges;n_node_attrs;n_edge_attrs;hidden_dim;batch_size;proc_time
157;50;300;50;50;256;16;0.09846199990715832
158;50;300;50;50;256;64;0.24539019993972033
159;50;300;50;50;512;1;0.061309600016102195
160;50;300;50;50;512;16;0.1078870000783354
161;50;300;50;50;512;64;0.2646161000011489
162;50;500;5;5;64;1;0.04457560006994754
163;50;500;5;5;64;16;0.0887914999620989
164;50;500;5;5;64;64;0.23167619993910193
165;50;500;5;5;256;1;0.049615300027653575
166;50;500;5;5;256;16;0.09961029991973191
167;50;500;5;5;256;64;0.24311739997938275
168;50;500;5;5;512;1;0.057700400007888675
169;50;500;5;5;512;16;0.11023339990060776
170;50;500;5;5;512;64;0.27128550002817065
171;50;500;5;10;64;1;0.04168160003609955
172;50;500;5;10;64;16;0.0877438000170514
173;50;500;5;10;64;64;0.22828090004622936
174;50;500;5;10;256;1;0.04881709988694638
175;50;500;5;10;256;16;0.10285559995099902
176;50;500;5;10;256;64;0.2542108999332413
177;50;500;5;10;512;1;0.059437999967485666
178;50;500;5;10;512;16;0.10878640005830675
179;50;500;5;10;512;64;0.2727519000181928
180;50;500;5;50;64;1;0.040425999904982746
181;50;500;5;50;64;16;0.08141350001096725
182;50;500;5;50;64;64;0.22562330006621778
183;50;500;5;50;256;1;0.048950200085528195
184;50;500;5;50;256;16;0.09662119997665286
185;50;500;5;50;256;64;0.2406599000096321
186;50;500;5;50;512;1;0.05955180001910776
187;50;500;5;50;512;16;0.11419110000133514
188;50;500;5;50;512;64;0.29983319994062185
189;50;500;10;5;64;1;0.04757559997960925
190;50;500;10;5;64;16;0.10430459992494434
191;50;500;10;5;64;64;0.26766299991868436
192;50;500;10;5;256;1;0.05560510000213981
193;50;500;10;5;256;16;0.10541439999360591
194;50;500;10;5;256;64;0.26627560006454587
195;50;500;10;5;512;1;0.062017499934881926
196;50;500;10;5;512;16;0.11243159999139607
197;50;500;10;5;512;64;0.2759688999503851
198;50;500;10;10;64;1;0.04334259999450296
199;50;500;10;10;64;16;0.08945400000084192
200;50;500;10;10;64;64;0.24091249995399266
201;50;500;10;10;256;1;0.048924700007773936
202;50;500;10;10;256;16;0.0983155999565497
203;50;500;10;10;256;64;0.25161799998022616
204;50;500;10;10;512;1;0.0664041000418365
205;50;500;10;10;512;16;0.11678489996120334
206;50;500;10;10;512;64;0.31988920003641397
207;50;500;10;50;64;1;0.050369299948215485
208;50;500;10;50;64;16;0.10445669991895556
